"SUNDAY RILEY","Good Genes All-In-One Lactic Acid Treatment",4.3325,"$105.00 - $158.00",https://www.sephora.com/product/good-genes-all-in-one-lactic-acid-treatment-P309308,https://www.sephora.com/productimages/sku/s1887298-main-grid.jpg,https://www.sephora.com/productimages/sku/s1887298-main-hero.jpg,https://www.sephora.com/productimages/sku/s1887298-main-Lhero.jpg,2018/03/10
"The Ordinary",Buffet,4.1676,$14.80,https://www.sephora.com/product/buffet-P427420,https://www.sephora.com/productimages/sku/s2031367-main-grid.jpg,https://www.sephora.com/productimages/sku/s2031367-main-hero.jpg,https://www.sephora.com/productimages/sku/s2031367-main-Lhero.jpg,2018/03/10
"Drunk Elephant","C-Firma™ Day Serum",4.1348,$80.00,https://www.sephora.com/product/c-firma-day-serum-P400259,https://www.sephora.com/productimages/sku/s1765239-main-grid.jpg,https://www.sephora.com/productimages/sku/s1765239-main-hero.jpg,https://www.sephora.com/productimages/sku/s1765239-main-Lhero.jpg,2018/03/10
"Drunk Elephant","T.L.C. Framboos™ Glycolic Night Serum",4.3209,"$90.00 - $134.00",https://www.sephora.com/product/t-l-c-framboos-tm-glycolic-night-serum-P392246,https://www.sephora.com/productimages/sku/s1679307-main-grid.jpg,https://www.sephora.com/productimages/sku/s1679307-main-hero.jpg,https://www.sephora.com/productimages/sku/s1679307-main-Lhero.jpg,2018/03/10
OLEHENRIKSEN,"Truth Serum®",4.2838,"$15.00 - $72.00",https://www.sephora.com/product/truth-serum-P42343,https://www.sephora.com/productimages/sku/s1910470-main-grid.jpg,https://www.sephora.com/productimages/sku/s1910470-main-hero.jpg,https://www.sephora.com/productimages/sku/s1910470-main-Lhero.jpg,2018/03/10
SK-II,"Facial Treatment Essence",4.0902,"$99.00 - $290.00",https://www.sephora.com/product/facial-treatment-essence-P375849,https://www.sephora.com/productimages/sku/s1850346-main-grid.jpg,https://www.sephora.com/productimages/sku/s1850346-main-hero.jpg,https://www.sephora.com/productimages/sku/s1850346-main-Lhero.jpg,2018/03/10
FARSÁLI,"Rose Gold Elixir",4.0804,"$20.00 - $54.00",https://www.sephora.com/product/rose-gold-elixir-P417139,https://www.sephora.com/productimages/sku/s1931518-main-grid.jpg,https://www.sephora.com/productimages/sku/s1931518-main-hero.jpg,https://www.sephora.com/productimages/sku/s1931518-main-Lhero.jpg,2018/03/10
FARSÁLI,"Unicorn Essence",3.8663,"$20.00 - $54.00",https://www.sephora.com/product/unicorn-essence-P417141,https://www.sephora.com/productimages/sku/s1931526-main-grid.jpg,https://www.sephora.com/productimages/sku/s1931526-main-hero.jpg,https://www.sephora.com/productimages/sku/s1931526-main-Lhero.jpg,2018/03/10
"Drunk Elephant","NightBright™ Duo",4.2,$28.00,https://www.sephora.com/product/nightbright-P414672,https://www.sephora.com/productimages/sku/s1862457-main-grid.jpg,https://www.sephora.com/productimages/sku/s1862457-main-hero.jpg,https://www.sephora.com/productimages/sku/s1862457-main-Lhero.jpg,2018/03/10
"SUNDAY RILEY","Luna Sleeping Night Oil",4.1106,"$55.00 - $105.00",https://www.sephora.com/product/luna-sleeping-night-oil-P393718,https://www.sephora.com/productimages/sku/s1681881-main-grid.jpg,https://www.sephora.com/productimages/sku/s1681881-main-hero.jpg,https://www.sephora.com/productimages/sku/s1681881-main-Lhero.jpg,2018/03/10
