title,brand,average_rating,price
"Kiehl's Midnight Recovery Concentrate","By Kiehl's","4.6 (1112 reviews)","4 varieties from $46.00"
"OLEHENRIKSEN Truth Serum(R) 3.4 oz/ 100 mL","By Ole Henriksen","4.6 (238 reviews)","2 varieties from $128.00"
"Drunk Elephant T.L.C. Framboos Glycolic Night Serum","By Drunk Elephant","4.5 (1893 reviews)","2 varieties from $90.00"
"Sunday Riley Good Genes Treatment","By Sunday Riley","4.5 (3680 reviews)","2 varieties from $105.00"
"The Ordinary Hyaluronic Acid 2% + B5 1 oz/ 30 mL","By The Ordinary","4.5 (205 reviews)",
"The Ordinary ""Buffet""","By The Ordinary","4.6 (323 reviews)",
"Caudalie S.O.S Thirst Quenching Serum a Moisturizing Bubble","By Caudalie","4.5 (943 reviews)","2 varieties from $49.00"
"FARSÁLI Unicorn Essence","By FARSÁLI","4.5 (663 reviews)","2 varieties from $20.00"
"LANEIGE Water Bank Serum","By Laneige","4.5 (1057 reviews)",
"Ole Henriksen Truth Serum","By Ole Henriksen","4.4 (4987 reviews)","8 varieties from $48.00"
"Drunk Elephant T.L.C. Framboos Glycolic Night Serum","By Drunk Elephant","4.4 (450 reviews)","From $134.00"
"Peter Thomas Roth Water Drench Hyaluronic Cloud Serum","By Peter Thomas Roth","4.6 (366 reviews)","2 varieties from $65.00"
"Rodan and Fields Redefine Night Renewing Serum 60 Caps","By Rodan + Fields","4.6 (255 reviews)","From $99.37"
"The Ordinary Glycolic Acid 7% Toning Solution","By The Ordinary","4.7 (193 reviews)",
"SUNDAY RILEY C.E.O. Rapid Flash Brightening Serum","By Sunday Riley","4.4 (845 reviews)","From $85.00"
"Est e Lauder Estee Lauder Perfectionist Lifting/Firming Serum 2.5 oz.","By Estée Lauder","4.3 (392 reviews)",
"Lancôme Advanced Génifique Youth Activating Concentrate Serum","By Lancôme","4.4 (1615 reviews)","16 varieties from $78.00"
"COSRX Advanced Snail 96 Mucin Power Essence","By COSRX","4.7 (301 reviews)","2 varieties from $20.90"
"Origins Original Skin Renewal Serum with Willowherb, 1 oz","By Origins","4.4 (1681 reviews)","From $40.00"
"Caudalie Vinoperfect Radiance Serum 1 oz","By Caudalie","4.3 (2042 reviews)",
"Estée Lauder Advanced Night Repair Synchronized Recovery Complex II","By Estée Lauder","4.5 (698 reviews)",
"Origins Plantscription Anti-Aging Serum","By Origins","4.3 (2262 reviews)","6 varieties from $59.00"
"Drunk Elephant C-Firma Day Serum","By Drunk Elephant","4.3 (1214 reviews)","2 varieties from $80.00"
"Caudalie Vinoperfect Complexion Correcting Radiance Serum","By Caudalie","4.3 (1064 reviews)","From $79.00"
"Caudalie Radiance Serum The Anti Dark Spot Solution","By Caudalie","4.2 (701 reviews)",
"OLEHENRIKSEN Truth Serum(R) 0.5 oz/ 15 mL","By Ole Henriksen","4.4 (231 reviews)","From $15.00"
"Ole Henriksen Three Little Wonders","By Ole Henriksen","4.5 (1326 reviews)",
"Olay Total Effects 7 in 1 Moisturizer + Serum Duo with Sunscreen Broad Spectrum SPF 15, 1.35 fl oz","By Olay","4.3 (547 reviews)",
"Estée Lauder Advanced Night Repair Synchronized Recovery Complex II Duo","By Estée Lauder","4.5 (883 reviews)",
"Olay Total Effects Instant Soothing Serum","By Olay","4.2 (1458 reviews)",
"Missha Time Revolution The First Treatment Essence","By Missha","4.5 (461 reviews)",
"Shiseido Ultimune Power Infusing Concentrate","By Shiseido","4.4 (1123 reviews)","10 varieties from $37.00"
"FARSÁLI Rose Gold Elixir","By FARSÁLI","4.6 (154 reviews)",
"The Ordinary Niacinamide 10% + Zinc 1% 1 oz/ 30 mL","By The Ordinary","4.3 (224 reviews)",
"Origins Original Skin Renewal Serum 1.7 oz","By Estée Lauder","4.4 (187 reviews)",
"Murad Sensitive Skin Soothing Serum","By Murad","4.4 (776 reviews)","5 varieties from $57.00"
"Olay Total Effects Moisturizer + Serum Duo with Broad Spectrum SPF 15","By Olay","4.3 (237 reviews)","From $16.18"
"The Ordinary Caffeine Solution 5% + EGCG 1 oz/ 30 mL","By The Ordinary","4.3 (167 reviews)","From $5.80"
"The Ordinary Advanced Retinoid 2% Serum","By The Ordinary","4.6 (276 reviews)",
"The Ordinary Salicylic Acid 2% Solution","By The Ordinary","4.5 (184 reviews)",
"Murad Vitamin C Infusion Treatment","By Murad","4.3 (345 reviews)",
"Ole Henriksen Invigorating Night Transformation(TM) Gel 1.7 oz/ 50 mL","By Ole Henriksen","4.5 (361 reviews)","From $48.00"
"REN Perfect Canvas Skin Finishing Serum","By REN","4.4 (264 reviews)","From $55.00"
"Perricone MD Cold Plasma+ Face","By Perricone MD","4.2 (385 reviews)","From $149.00"
"Olay Age Defying 2-in-1 Anti-Wrinkle Day Cream + Serum","By Olay","4.1 (177 reviews)",
"Olay Age Defying 2-in-1 Anti-Wrinkle Day Cream + Serum","By Olay","4.1 (177 reviews)",
"Biosilk Silk Therapy Serum","By Biosilk","4.7 (484 reviews)","4 varieties from $11.99"
"Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30","By Dr. Jart+","4.5 (247 reviews)","2 varieties from $18.00"
"Hey Honey Good Morning Honey Silk Facial Serum","By Hey Honey","4.8 (262 reviews)","From $41.00"
"Skin Food Peach Sake Pore Serum 45ml Made in 'Korea [Peach Sake Pore Serum 45ml]","By SKINFOOD","4.4 (186 reviews)","From $16.00"
"Glossier Super Pure","By Glossier","4.5 (324 reviews)","From $28.00"
"Mary Kay TimeWise Replenishing Serum+C","By Mary Kay","4.3 (1280 reviews)",
"Mario Badescu Vitamin C Serum, 1 oz.","By Mario Badescu","4.6 (267 reviews)","From $45.00"
"Ole Henriksen Pure Truth(TM) Vitamin C Youth Activating Oil 1 oz/ 30 mL","By Ole Henriksen","4.3 (441 reviews)","From $45.00"
"Biossance Squalane + Vitamin C Rose Oil 1 oz/ 30 mL","By Biossance","4.8 (132 reviews)","From $72.00"
"Murad Retinol Youth Renewal Serum","By Murad","4.4 (281 reviews)","From $88.00"
"Vichy Laboratoires Aqualia Thermal Dynamic Hydration Serum","By Vichy Laboratoires","4.4 (916 reviews)","From $22.00"
"Murad Age Spot and Pigment Lightening Gel","By Murad","4.0 (800 reviews)","3 varieties from $15.00"
"Mizon Multi Function Formula Snail Repair Intensive Ampoule","By Mizon","4.4 (893 reviews)","3 varieties from $30.00"
"Clinique Smart™ Custom-Repair Serum","By Clinique","4.4 (1605 reviews)","8 varieties from $59.50"
"Innisfree Green Tea Seed Serum","By Innisfree","4.5 (191 reviews)","2 varieties from $19.56"
"Origins Plantscription Powerful Lifting Concentrate","By Origins","4.4 (361 reviews)","From $62.00"
"Olay Regenerist Regenerating Serum Fragrance-free","By Olay","4.3 (1275 reviews)","13 varieties from $10.39"
"Glossier Super Glow","By Glossier","4.3 (305 reviews)","From $28.00"
"Nip + Fab Dragon's Blood Fix Plumping Serum","By Nip+Fab","4.3 (177 reviews)","3 varieties from $15.76"
"Missha Time Revolution Night Repair Science Activator Ampoule Serum, 1.7 Ounce [Ampoule 50ml]","By Missha","4.5 (182 reviews)",
"Algenist Power Recharging Night Pressed Serum","By Algenist","4.3 (158 reviews)","From $95.00"
